id,titre,titre_original,annee_sortie,note,genre,pays_production,realisateur,description,nb_saisons,nb_episodes,statut
S001,Stranger Things,Stranger Things,2019,8.7,Science-Fiction,États-Unis,"Matt Duffer, Ross Duffer","When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.",2,17,EN_COURS
S002,House of Cards,House of Cards,2018,8.7,Drame,États-Unis,Beau Willimon,"A ruthless politician will stop at nothing to conquer Washington, D.C., in this Emmy and Golden Globe-winning political drama.",6,73,TERMINEE
S003,Narcos,Narcos,2017,8.8,Drame,États-Unis,Chris Brancato,The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series.,3,30,TERMINEE
S004,Dark,Dark,2020,8.7,Science-Fiction,Allemagne,"Baran bo Odar, Jantje Friese",A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.,2,18,EN_COURS
S005,Ozark,Ozark,2020,8.5,Drame,États-Unis,Bill Dubuque,"A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss.",2,20,EN_COURS
S006,Orange Is the New Black,Orange Is the New Black,2019,8.1,Drame,États-Unis,Jenji Kohan,"A privileged New Yorker ends up in a women's prison when a past crime catches up with her in this Emmy-winning series from the creator of ""Weeds.""",6,78,EN_COURS
S007,13 Reasons Why,13 Reasons Why,2020,7.5,Drame,États-Unis,Brian Yorkey,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",2,26,EN_COURS
S008,MINDHUNTER,MINDHUNTER,2019,8.6,Drame,États-Unis,Joe Penhall,In the late 1970s two FBI agents expand criminal science by delving into the psychology of murder and getting uneasily close to all-too-real monsters.,1,10,EN_COURS
S009,The Umbrella Academy,The Umbrella Academy,2020,8.0,Comédie,États-Unis,Steve Blackman,"Reunited by their father's death, estranged siblings with extraordinary powers uncover shocking family secrets – and a looming threat to humanity.",1,10,EN_COURS
S010,The Crown,The Crown,2020,8.7,Drame,Royaume-Uni,Peter Morgan,This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.,2,20,EN_COURS
S011,Altered Carbon,Altered Carbon,2020,7.9,Science-Fiction,États-Unis,Laeta Kalogridis,"After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder.",1,10,EN_COURS
S012,Sense8,Sense8,2018,8.2,Science-Fiction,États-Unis,"Lana Wachowski, Lilly Wachowski","From the creators of ""The Matrix"" and ""Babylon 5"" comes this tense series in which eight people can telepathically experience each other's lives.",2,24,TERMINEE
S013,BoJack Horseman,BoJack Horseman,2020,8.8,Comédie,États-Unis,Raphael Bob-Waksberg,"Meet the most beloved sitcom horse of the '90s, 20 years later. He’s a curmudgeon with a heart of...not quite gold...but something like gold. Copper?",5,61,EN_COURS
S014,"Love, Death & Robots","Love, Death & Robots",2021,8.4,Science-Fiction,États-Unis,Tim Miller,"Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher.",1,18,EN_COURS
S015,After Life,After Life,2020,8.4,Comédie,Royaume-Uni,Ricky Gervais,"Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help.",1,6,EN_COURS
S016,When They See Us,When They See Us,2019,8.9,Drame,États-Unis,Ava DuVernay,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,1,4,EN_COURS
S017,The OA,The OA,2019,7.8,Science-Fiction,États-Unis,"Brit Marling, Zal Batmanglij","Seven years after vanishing from her home, a young woman returns with mysterious new abilities and recruits five strangers for a secret mission.",1,16,EN_COURS
S018,Lost in Space,Lost in Space,2019,7.3,Drame,États-Unis,"Matt Sazama, Burk Sharpless","After crash-landing on an alien planet, the Robinson family fights against all odds to survive and escape. But they're surrounded by hidden dangers.",1,10,EN_COURS
S019,Making a Murderer,Making a Murderer,2018,8.6,Documentaire,États-Unis,"Moira Demos, Laura Ricciardi","Filmed over 10 years, this real-life thriller follows a DNA exoneree who, while exposing police corruption, becomes a suspect in a grisly new crime.",1,20,EN_COURS
S020,Chilling Adventures of Sabrina,Chilling Adventures of Sabrina,2020,7.4,Thriller,États-Unis,Roberto Aguirre-Sacasa,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night.",1,20,EN_COURS
S021,Russian Doll,Russian Doll,2019,7.8,Comédie,États-Unis,"Natasha Lyonne, Amy Poehler, Leslye Headland",Nadia keeps dying and reliving her 36th birthday party. She's trapped in a surreal time loop – and staring down the barrel of her own mortality.,1,8,EN_COURS
S022,Sacred Games,Sacred Games,2019,8.5,Action,Inde,Vikramaditya Motwane,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",1,8,EN_COURS
S023,Narcos: Mexico,Narcos: Mexico,2020,8.4,Drame,Mexique,Carlo Bernard,"Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Guadalajara cartel's ascent.",1,10,EN_COURS
S024,Atypical,Atypical,2021,8.3,Comédie,États-Unis,Robia Rashid,"When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery.",2,18,EN_COURS
S025,Maniac,Maniac,2018,7.7,Science-Fiction,États-Unis,Patrick Somerville,Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.,1,10,EN_COURS
S026,Big Mouth,Big Mouth,2020,7.9,Comédie,États-Unis,"Nick Kroll, Andrew Goldberg",Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.,2,21,EN_COURS
S027,Elite,Elite,2021,7.4,Thriller,Espagne,"Carlos Montero, Darío Madrona","When three working-class teens enroll in an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.",1,8,EN_COURS
S028,Dead to Me,Dead to Me,2020,8.0,Thriller,États-Unis,Liz Feldman,A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.,1,10,EN_COURS
S029,Master of None,Master of None,2021,8.3,Drame,États-Unis,"Aziz Ansari, Alan Yang",Dev tries to jump-start his acting career and elevate his dating game with help from his eclectic group of friends in this award-winning series.,2,20,TERMINEE
S030,Unbreakable Kimmy Schmidt,Unbreakable Kimmy Schmidt,2019,7.6,Comédie,États-Unis,"Tina Fey, Robert Carlock","When a woman is rescued from a doomsday cult and lands in New York City, she must navigate a world she didn’t think even existed anymore.",4,51,TERMINEE
S031,Santa Clarita Diet,Santa Clarita Diet,2019,7.8,Comédie,États-Unis,Victor Fresco,They're ordinary husband and wife realtors until she undergoes a dramatic change that sends them down a road of death and destruction. In a good way.,3,30,TERMINEE
S032,Castlevania,Castlevania,2021,8.3,Animation,États-Unis,Warren Ellis,A vampire hunter fights to save a besieged city from an army of otherworldly beasts controlled by Dracula himself. Inspired by the classic video games.,2,12,EN_COURS
