"id","type","titre","annee","note","genre","pays","realisateur","duree","nb_saisons","nb_episodes","statut","description","titre_original"
"MED-001","FILM","Outlaws",2021,6.9,"CRIME","Espagne","James Carter",125,"","","","Ce long-metrage policier raconte le parcours de une jeune femme qui decouvre un lourd secret face a des choix difficiles.","El Canto de los Origenes"
"MED-002","SERIE","The Chalet",2018,7.1,"CRIME","France","Lucia Fernandez","",1,9,"EN_COURS","Une serie policier qui explore le quotidien de un heros ordinaire plonge dans l'extraordinaire et ses secrets.","Le Chalet"
"MED-003","SERIE","The War: A Film by Ken Burns and Lynn Novick",2007,8.9,"DRAME","États-Unis","Julie Bernard","",1,9,"TERMINEE","Cette serie dramatique suit un enqueteur determine a resoudre une affaire au fil de plusieurs saisons pleines de tensions.",""
"MED-004","SERIE","Black Summer",2019,6.5,"THRILLER","États-Unis","Francesca Romano","",2,14,"ANNULEE","Une serie a suspense qui explore le quotidien de une jeune femme qui decouvre un lourd secret et ses secrets.",""
"MED-005","FILM","Tony Robbins: I Am Not Your Guru",2016,6.6,"DOCUMENTAIRE","États-Unis","Diego Morales",115,"","","","Une histoire documentaire centree sur des amis dont les destins s'entremelent, entre tension et emotion.",""
"MED-006","FILM","John Was Trying to Contact Aliens",2020,7.0,"DOCUMENTAIRE","États-Unis","Marco Rossi",16,"","","","Une histoire documentaire centree sur des amis dont les destins s'entremelent, entre tension et emotion.",""
"MED-007","SERIE","Nailed It! Germany",2020,5.7,"REALITE","Allemagne","Stefan Becker","",1,8,"EN_COURS","Une serie de tele-realite qui explore le quotidien de deux rivaux contraints de collaborer et ses secrets.","Der Pakt der Schatten"
"MED-008","SERIE","New Heights",2021,6.7,"DRAME","Suisse","Sabine Hoffmann","",1,11,"TERMINEE","Dans cette serie dramatique, un groupe de personnages hauts en couleur navigue entre alliances et trahisons.",""
"MED-009","FILM","ReMastered: Who Killed Jam Master Jay?",2018,6.5,"MUSICAL","États-Unis","Luca Ferrari",58,"","","","Dans ce film musical, un personnage principal en quete de verite doit affronter des evenements qui bouleversent sa vie.",""
"MED-010","FILM","Kiss the Ground",2020,8.2,"DOCUMENTAIRE","États-Unis","Camille Dubois",84,"","","","Une histoire documentaire centree sur deux rivaux contraints de collaborer, entre tension et emotion.",""
"MED-011","FILM","Grand-Daddy Day Care",2019,4.9,"COMEDIE","France","Michael Bennett",91,"","","","Un film comedie qui suit une jeune femme qui decouvre un lourd secret dans une histoire pleine de rebondissements.","Le Murmure des Absents"
"MED-012","FILM","An Interview with God",2018,7.7,"DRAME","États-Unis","Perry Lang",97,"","","","Un recit dramatique intense mettant en scene un personnage principal en quete de verite.",""
"MED-013","SERIE","Sinatra: All or Nothing at All",2015,8.7,"DRAME","États-Unis","Alex Gibney","",1,6,"ANNULEE","Une serie dramatique qui explore le quotidien de des amis dont les destins s'entremelent et ses secrets.",""
"MED-014","FILM","Death of Me",2020,4.4,"HORREUR","États-Unis","Ana Silva",95,"","","","Un film d'horreur qui suit des amis dont les destins s'entremelent dans une histoire pleine de rebondissements.",""
"MED-015","FILM","Blue Mountain State: The Rise of Thadland",2016,7.7,"COMEDIE","États-Unis","Lev L. Spiro",90,"","","","Une histoire comedie centree sur un groupe de personnages hauts en couleur, entre tension et emotion.",""
"MED-016","SERIE","Nailed It! Holiday!",2018,7.7,"REALITE","États-Unis","Andreas Fischer","",2,18,"EN_COURS","Cette serie de tele-realite suit des amis dont les destins s'entremelent au fil de plusieurs saisons pleines de tensions.",""
"MED-017","SERIE","Fary: Hexagone",2020,6.2,"COMEDIE","France","Francesca Romano","",1,10,"TERMINEE","Dans cette serie comedie, un personnage principal en quete de verite navigue entre alliances et trahisons.","Le Dernier Refuge"
"MED-018","FILM","I Am Not an Easy Man",2018,6.3,"FANTASTIQUE","France","Carlos Fernandez",98,"","","","Un recit fantastique intense mettant en scene une jeune femme qui decouvre un lourd secret.","La Chute des Illusions"
"MED-019","FILM","The Gospel of John",2014,7.4,"DRAME","Royaume-Uni","David Batty",161,"","","","Un film dramatique qui suit une famille aux liens complexes dans une histoire pleine de rebondissements.",""
"MED-020","SERIE","Skin Decision: Before and After",2020,5.8,"REALITE","États-Unis","Javier Ruiz","",1,11,"ANNULEE","Un show de tele-realite captivant centre sur un personnage principal en quete de verite.",""
"MED-021","FILM","Swearnet: The Movie",2014,6.0,"COMEDIE","Canada","Luca Ferrari",112,"","","","Un film comedie qui suit deux rivaux contraints de collaborer dans une histoire pleine de rebondissements.",""
"MED-022","SERIE","Maya and the Three",2021,8.1,"COMEDIE","Mexique","Claire Martin","",1,10,"EN_COURS","Cette production comedie suit l'evolution de deux rivaux contraints de collaborer episode apres episode.","Las Alas del Destino"
"MED-023","SERIE","Soil",2021,7.1,"COMEDIE","Belgique","Lucia Fernandez","",1,12,"TERMINEE","Une serie comedie qui explore le quotidien de un heros ordinaire plonge dans l'extraordinaire et ses secrets.",""
"MED-024","FILM","The Maus",2017,4.7,"FANTASTIQUE","Espagne","Luca Ferrari",90,"","","","Une histoire fantastique centree sur une communaute bouleversee par un evenement inattendu, entre tension et emotion.","Los Angeles del Barrio"
"MED-025","FILM","The Reason I Jump",2020,7.5,"DOCUMENTAIRE","États-Unis","Michael Bennett",82,"","","","Un recit documentaire intense mettant en scene une jeune femme qui decouvre un lourd secret.",""
"MED-026","FILM","After We Fell",2021,4.6,"ROMANCE","France","Luca Ferrari",99,"","","","Une histoire romantique centree sur un groupe de personnages hauts en couleur, entre tension et emotion.","Une Vie a Reconstruire"
"MED-027","FILM","Creep",2014,6.3,"HORREUR","États-Unis","Laura Thompson",82,"","","","Un recit d'horreur intense mettant en scene un personnage principal en quete de verite.",""
"MED-028","FILM","The NSU-Complex",2016,5.7,"DOCUMENTAIRE","Allemagne","Stefan Aust",90,"","","","Ce long-metrage documentaire raconte le parcours de une famille aux liens complexes face a des choix difficiles.",""
"MED-029","SERIE","Sense8",2015,8.2,"DRAME","États-Unis","Andreas Fischer","",2,12,"ANNULEE","Dans cette serie dramatique, une communaute bouleversee par un evenement inattendu navigue entre alliances et trahisons.",""
"MED-030","SERIE","The Degenerates",2018,6.2,"COMEDIE","États-Unis","Robert Anderson","",2,24,"EN_COURS","Cette production comedie suit l'evolution de une famille aux liens complexes episode apres episode.",""
"MED-031","SERIE","Metallica: Some Kind of Monster",2004,5.8,"DRAME","Canada","Emma Wilson","",1,11,"TERMINEE","Cette serie dramatique suit un enqueteur determine a resoudre une affaire au fil de plusieurs saisons pleines de tensions.",""
