id,titre,titre_original,annee_sortie,note,genre,pays_production,realisateur,description,duree_minutes
F001,Inception,Inception,2010,8.8,Action,États-Unis,Christopher Nolan,A troubled thief who extracts secrets from people's dreams takes one last job: leading a dangerous mission to plant an idea in a target's subconscious.,148
F002,Django Unchained,Django Unchained,2012,8.4,Action,États-Unis,Quentin Tarantino,"Accompanied by a German bounty hunter, a freed slave named Django travels across America to free his wife from a sadistic plantation owner.",165
F003,The Departed,The Departed,2006,8.5,Drame,États-Unis,Martin Scorsese,Two rookie Boston cops are sent deep undercover – one inside the gang of a charismatic Irish mob boss and the other double-crossing his own department.,151
F004,GoodFellas,GoodFellas,1990,8.7,Drame,États-Unis,Martin Scorsese,Former mobster Henry Hill recounts his colorful yet violent rise and fall in a New York crime family – a high-rolling dream turned paranoid nightmare.,145
F005,Catch Me If You Can,Catch Me If You Can,2002,8.1,Drame,États-Unis,Steven Spielberg,"An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit.",141
F006,Taxi Driver,Taxi Driver,2015,8.2,Drame,Nigéria,Daniel Oriahi,"After his father dies, a young mechanic moves to the city to drive the old man’s taxi, and encounters assassins and a motley crew of urban weirdos.",114
F007,Casino Royale,Casino Royale,2006,8.0,Action,Royaume-Uni,Martin Campbell,"Daniel Craig makes his debut as the newly minted agent 007, who's pitted against an infamous financier of global terrorism – at the poker table.",144
F008,Sherlock Holmes,Sherlock Holmes,2009,7.6,Crime,États-Unis,Guy Ritchie,The game is afoot for an eccentric detective who must use his brains and brawn to track down a nefarious nemesis with the help of his partner.,129
F009,The Hateful Eight,The Hateful Eight,2015,7.8,Thriller,États-Unis,Quentin Tarantino,"Years after the Civil War, a bounty hunter and his captive are waylaid by a Wyoming blizzard and hole up in a way station with six dicey strangers.",188
F010,Monty Python and the Holy Grail,Monty Python and the Holy Grail,1975,8.2,Fantastique,Royaume-Uni,Terry Gilliam,The Monty Python comedy clan skewers King Arthur and his Knights of the Round Table as they quest far and wide for the Holy Grail.,91
F011,Nightcrawler,Nightcrawler,2014,7.8,Thriller,États-Unis,Dan Gilroy,A young hustler finds success trolling the streets of Los Angeles to film disasters and death. But the darkness he captures starts to take hold of him.,118
F012,The Pursuit of Happyness,The Pursuit of Happyness,2006,8.0,Drame,États-Unis,Gabriele Muccino,"When Chris and his son are evicted, they face trying times as a desperate Chris accepts an unpaid internship at a stock brokerage firm.",117
F013,The Conjuring,The Conjuring,2013,7.5,Horreur,États-Unis,James Wan,"When a family starts experiencing supernatural terrors after moving into a Rhode Island farmhouse, they seek the help of a pair of noted demonologists.",112
F014,Rush,Rush,2013,8.1,Drame,Royaume-Uni,Ron Howard,"In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all.",123
F015,Quantum of Solace,Quantum of Solace,2008,6.6,Thriller,Royaume-Uni,Marc Forster,"Picking up an hour after the events of 2006's Casino Royale, this James Bond adventure finds 007 tracking a traitor who's infiltrated Britain's MI6.",106
F016,3 Idiots,3 Idiots,2009,8.4,Drame,Inde,Rajkumar Hirani,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",170
F017,Wanted,Wanted,2019,6.7,Action,Allemagne,Nibal Arakji,Four seniors embark on misadventures after breaking out of their nursing home to save a loved one’s grave from demolition by estate developers.,110
F018,The Irishman,The Irishman,2019,7.8,Crime,États-Unis,Martin Scorsese,Hit man Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family in this acclaimed film from Martin Scorsese.,209
F019,Once Upon a Time in America,Once Upon a Time in America,1984,8.3,Crime,Italie,Sergio Leone,Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.,139
F020,Due Date,Due Date,2010,6.5,Comédie,États-Unis,Todd Phillips,"Days before his pregnant wife's due date, Peter lands on the ""no-fly"" list, forcing him to drive across the country with an irritating slacker.",95
F021,Bird Box,Bird Box,2018,6.6,Thriller,États-Unis,Susanne Bier,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.",124
F022,How to Train Your Dragon 2,How to Train Your Dragon 2,2014,7.8,Action,États-Unis,Dean DeBlois,"Hiccup, Toothless and a mysterious dragon rider join forces to protect the island of Berk from a power-hungry warrior with a dragon army of his own.",102
F023,Les Misérables,Les Misérables,2012,7.5,Drame,Royaume-Uni,Tom Hooper,"The musical version of Victor Hugo's epic tale of love and sacrifice, first produced for the stage in 1985, now receives the big-screen treatment.",158
F024,The Book of Eli,The Book of Eli,2010,6.8,Science-Fiction,États-Unis,Albert Hughes,"Determined to protect a sacred text that promises to save humanity, Eli goes on a quest westward across the barren, postapocalyptic country.",118
F025,Donnie Brasco,Donnie Brasco,1997,7.7,Drame,États-Unis,Mike Newell,"When FBI agent Joe Pistone goes undercover to infiltrate the mob, he starts to identify with the made men he's charged with taking down.",127
F026,Insidious,Insidious,2010,6.8,Horreur,États-Unis,James Wan,"A family moves into a new home, where their son falls into a coma and eerie events begin to reveal something far more sinister is lurking in the house.",103
F027,Marriage Story,Marriage Story,2019,7.9,Drame,Royaume-Uni,Noah Baumbach,Academy Award-nominated filmmaker Noah Baumbach directs this incisive and compassionate look at a marriage coming apart and a family staying together.,136
